"","V1","page","province","region","position","district","votes","proclamation_date","name","party","has_nickname"
"105","CHILAGAN, MARIO SR. WITIWIT   MANODCHUM                         LAKAS NUCD-UMDP          12,594","6/11","IFUGAO","CAR","vice governor",""," 12,594",NA,"CHILAGAN, MARIO SR. WITIWIT   MANODCHUM","",TRUE
"106","DANGAYO, MANUEL PUGUON        MANING                            INDEPENDENT               308","6/11","IFUGAO","CAR","vice governor",""," 308",NA,"DANGAYO, MANUEL PUGUON","INDEPENDENT",TRUE
"107","TAKINAN, DOMINGA-BELLA GANO   BELLA                             LABAN (LDP)              12,361   May 11,1995","6/11","IFUGAO","CAR","board member","1ST DISTRICT"," 12,361","May 11,1995","TAKINAN, DOMINGA-BELLA GANO   BELLA","LABAN (LDP)",FALSE
"108","MANGYAO, ROBERT BUMINA-ANG    ROBERT                            NPC                      11,613   May 11,1995","6/11","IFUGAO","CAR","board member","1ST DISTRICT"," 11,613","May 11,1995","MANGYAO, ROBERT BUMINA-ANG","",TRUE
"109","TAYABAN, JAMES GUIMBATAN      JAMES                             LABAN (LDP)              11,486   May 11,1995","6/11","IFUGAO","CAR","board member","1ST DISTRICT"," 11,486","May 11,1995","TAYABAN, JAMES GUIMBATAN","LABAN (LDP)",TRUE
"110","DULNUAN, RODOLFO TAYABAN      RUDY                              LABAN (LDP)              10,963","6/11","IFUGAO","CAR","board member","1ST DISTRICT"," 10,963",NA,"DULNUAN, RODOLFO TAYABAN","LABAN (LDP)",TRUE
"111","DUMANOP, ANTONIO P.           TONY                              LAKAS NUCD-UMDP          7,081","6/11","IFUGAO","CAR","board member","1ST DISTRICT"," 7,081",NA,"DUMANOP, ANTONIO P.","LAKAS NUCD-UMDP",TRUE
"112","LUNAG, DANIEL HIJDAG          DANNY                             LAKAS NUCD-UMDP          6,899","6/11","IFUGAO","CAR","board member","1ST DISTRICT"," 6,899",NA,"LUNAG, DANIEL HIJDAG","LAKAS NUCD-UMDP",TRUE
"113","NABAJET, VICENTE A.           VIC                               LAKAS NUCD-UMDP          6,847","6/11","IFUGAO","CAR","board member","1ST DISTRICT"," 6,847",NA,"NABAJET, VICENTE A.","LAKAS NUCD-UMDP",TRUE
"114","MENDOZA, ALFREDO CASUMPANG    PIDO                              NPC                      6,571","6/11","IFUGAO","CAR","board member","1ST DISTRICT"," 6,571",NA,"MENDOZA, ALFREDO CASUMPANG","",TRUE
"115","DULAWAN, MANUEL DULAWAN       MANNY                             NPC                      6,492","6/11","IFUGAO","CAR","board member","1ST DISTRICT"," 6,492",NA,"DULAWAN, MANUEL DULAWAN","NPC",TRUE
"116","BALINON, BEN BALIETO          MAGELAN                           INDEPENDENT              2,151","6/11","IFUGAO","CAR","board member","1ST DISTRICT"," 2,151",NA,"BALINON, BEN BALIETO","INDEPENDENT",TRUE
"117","BEYER, JAMES M.               JIMMY                             NPC                      9,049    May 11,1995","6/11","IFUGAO","CAR","board member","2ND DISTRICT"," 9,049","May 11,1995","BEYER, JAMES M.","NPC",TRUE
"118","LANGBAYAN, GASPAR B.          GAS                               NPC                      8,634    May 11,1995","6/11","IFUGAO","CAR","board member","2ND DISTRICT"," 8,634","May 11,1995","LANGBAYAN, GASPAR B.","NPC",TRUE
"119","BUYA-AO, PATERNO MABAYOG      PAT                               LABAN (LDP)              6,946    May 11,1995","6/11","IFUGAO","CAR","board member","2ND DISTRICT"," 6,946","May 11,1995","BUYA-AO, PATERNO MABAYOG","LABAN (LDP)",TRUE
"120","BAHATAN, RUBEN DAMIT-OG       BEN                               LABAN (LDP)              6,013","6/11","IFUGAO","CAR","board member","2ND DISTRICT"," 6,013",NA,"BAHATAN, RUBEN DAMIT-OG","LABAN (LDP)",TRUE
"121","CHILI-ON, RUFINO PUNCHUGAN    LUPPIN                            LAKAS NUCD-UMDP          5,921","6/11","IFUGAO","CAR","board member","2ND DISTRICT"," 5,921",NA,"CHILI-ON, RUFINO PUNCHUGAN","",TRUE
"122","NATUNO, SANTIAGO PACYOD       SANTY                            LAKAS NUCD-UMDP          5,477","7/11","IFUGAO","CAR","board member","2ND DISTRICT"," 5,477",NA,"NATUNO, SANTIAGO PACYOD","LAKAS NUCD-UMDP",TRUE
"123","LICNACHAN, JUANITO SR. AMEJNA BALANNI                          LAKAS NUCD-UMDP          5,157","7/11","IFUGAO","CAR","board member","2ND DISTRICT"," 5,157",NA,"LICNACHAN, JUANITO SR. AMEJNA BALANNI","",TRUE
"124","ABAYAO, EMILIO HUMIDING       EMILIO                           LABAN (LDP)              5,053","7/11","IFUGAO","CAR","board member","2ND DISTRICT"," 5,053",NA,"ABAYAO, EMILIO HUMIDING","LABAN (LDP)",TRUE
"125","GUINGAYAN, SEVERO GAYANA      VERONG                           NPC                      4,695","7/11","IFUGAO","CAR","board member","2ND DISTRICT"," 4,695",NA,"GUINGAYAN, SEVERO GAYANA","NPC",TRUE
"126","BULUT, ELIAS KIRTUG           ELY                                 LAKAS NUCD-UMDP          62,386   May 18,1995","8/11","KALINGA APAYAO","CAR","congressman","2ND DISTRICT"," 62,386","May 18,1995","BULUT, ELIAS KIRTUG","LAKAS NUCD-UMDP",TRUE
"127","MIRANDA, AMELIA B.            MELY DOCTORA                        NPC                      11,013","8/11","KALINGA APAYAO","CAR","congressman","2ND DISTRICT"," 11,013",NA,"MIRANDA, AMELIA B.","NPC",TRUE
"128","EYADAN, JUANITO AYANGDO       SALINTO                             LABAN (LDP)              8,618","8/11","KALINGA APAYAO","CAR","congressman","2ND DISTRICT"," 8,618",NA,"EYADAN, JUANITO AYANGDO","LABAN (LDP)",TRUE
"129","WACNANG, LAURENCE B.          LARRY                               LAKAS NUCD-UMDP          56,993   June 5,1995","8/11","KALINGA APAYAO","CAR","governor",""," 56,993","June 5,1995","WACNANG, LAURENCE B.","LAKAS NUCD-UMDP",TRUE
"130","WANDAG, BASILIO ARSAY         BAS                                 NPC                      33,666","8/11","KALINGA APAYAO","CAR","governor",""," 33,666",NA,"WANDAG, BASILIO ARSAY","NPC",TRUE
"131","BAAC, JOCEL C.                JOE                                 LAKAS NUCD-UMDP          33,337   June 5,1995","8/11","KALINGA APAYAO","CAR","vice governor",""," 33,337","June 5,1995","BAAC, JOCEL C.","LAKAS NUCD-UMDP",TRUE
"132","DONGUI-IS, JOHN BALI          DAO-IN                              INDEPENDENT              22,994","8/11","KALINGA APAYAO","CAR","vice governor",""," 22,994",NA,"DONGUI-IS, JOHN BALI","INDEPENDENT",TRUE
"133","SONGGADAN, ANTHONY A.         TONY                                LAKAS NUCD-UMDP          15,818","8/11","KALINGA APAYAO","CAR","vice governor",""," 15,818",NA,"SONGGADAN, ANTHONY A.","LAKAS NUCD-UMDP",TRUE
"134","SANTOS, DOMINICA GUNNAWA      DOMING                              LM                       13,744","8/11","KALINGA APAYAO","CAR","vice governor",""," 13,744",NA,"SANTOS, DOMINICA GUNNAWA","LM",TRUE
"135","DUYAN, ANTONIO ANNIBAN        TONY                                INDEPENDENT              18,426   June 5,1995","8/11","KALINGA APAYAO","CAR","board member","1ST DISTRICT"," 18,426","June 5,1995","DUYAN, ANTONIO ANNIBAN","INDEPENDENT",TRUE
"136","NGAO-I, ANDRES ABASONGIT      ANDY                                LAKAS NUCD-UMDP          17,970   June 5,1995","8/11","KALINGA APAYAO","CAR","board member","1ST DISTRICT"," 17,970","June 5,1995","NGAO-I, ANDRES ABASONGIT","LAKAS NUCD-UMDP",TRUE
"137","AMILIG, EMILIO T.             EMILIO                               LP                      17,963   June 5,1995","8/11","KALINGA APAYAO","CAR","board member","1ST DISTRICT"," 17,963","June 5,1995","AMILIG, EMILIO T.","LP",TRUE
"138","BALLOG, BENITO SIBAYAN        BENITO                              NPC                      17,203   June 5,1995","8/11","KALINGA APAYAO","CAR","board member","1ST DISTRICT"," 17,203","June 5,1995","BALLOG, BENITO SIBAYAN","NPC",TRUE
