"","V1","page","province","region","position","district","votes","proclamation_date","name","party","has_nickname"
"81","DE GUZMAN, ROBERTO GORDON             BOBBY                                INDEPENDENT              19,421","4/12","CAVITE","04A","board member","1ST DISTRICT"," 19,421",NA,"DE GUZMAN, ROBERTO GORDON","INDEPENDENT",TRUE
"82","CRAWFORD, LAWRENCE SUGATAN      LARRY                            PARTIDO MAGDALO (LDP)    9,528","5/12","CAVITE","04A","board member","1ST DISTRICT"," 9,528",NA,"CRAWFORD, LAWRENCE SUGATAN","",TRUE
"83","MORALES, EDGARDO BASISTER       EDGAR                            DGIPP                    6,672","5/12","CAVITE","04A","board member","1ST DISTRICT"," 6,672",NA,"MORALES, EDGARDO BASISTER","DGIPP",TRUE
"84","MAGBANWA, MAMERTO DELA PEÑA     MERT                             DGIPP                    3,805","5/12","CAVITE","04A","board member","1ST DISTRICT"," 3,805",NA,"MAGBANWA, MAMERTO DELA PEÑA","DGIPP",TRUE
"85","JOSE, ROWEL OLANGO              BOOGIE                           DGIPP                    3,301","5/12","CAVITE","04A","board member","1ST DISTRICT"," 3,301",NA,"JOSE, ROWEL OLANGO","DGIPP",TRUE
"86","ADVINCULA, ALEX LACSON          AA                               PARTIDO MAGDALO         218,596   May 17,2004","5/12","CAVITE","04A","board member","2ND DISTRICT"," 218,596","May 17,2004","ADVINCULA, ALEX LACSON","PARTIDO MAGDALO",TRUE
"87","ARAYATA, HERMOGENES III CRUZ    GENGEN                           PARTIDO MAGDALO/LDP     188,347   May 17,2004","5/12","CAVITE","04A","board member","2ND DISTRICT"," 188,347","May 17,2004","ARAYATA, HERMOGENES III CRUZ","PARTIDO MAGDALO/LDP",FALSE
"88","CAMPAÑA, DENCITO PRESA          OSBOY                            LDP                     179,732   May 17,2004","5/12","CAVITE","04A","board member","2ND DISTRICT"," 179,732","May 17,2004","CAMPAÑA, DENCITO PRESA","LDP",TRUE
"89","CANTIMBUHAN, RECTO MENEZ        RECTO                            LDP                     139,436   May 17,2004","5/12","CAVITE","04A","board member","2ND DISTRICT"," 139,436","May 17,2004","CANTIMBUHAN, RECTO MENEZ","LDP",TRUE
"90","SANCHEZ, TEODORO SARIA          DOY                              LAKAS-CMD               126,045","5/12","CAVITE","04A","board member","2ND DISTRICT"," 126,045",NA,"SANCHEZ, TEODORO SARIA","LAKAS-CMD",TRUE
"91","DE SAGUN, MELENCIO III GRANADO  DON-DON                          LAKAS-CMD                57,782","5/12","CAVITE","04A","board member","2ND DISTRICT"," 57,782",NA,"DE SAGUN, MELENCIO III GRANADO  DON-DON","",TRUE
"92","HERRERA, FRANCISCO CAMERINO     KIKO                             LAKAS-CMD                56,831","5/12","CAVITE","04A","board member","2ND DISTRICT"," 56,831",NA,"HERRERA, FRANCISCO CAMERINO","LAKAS-CMD",TRUE
"93","CANTELA, SAMSON KEVIN LEGASPI   KEVIN                            LAKAS-CMD                34,337","5/12","CAVITE","04A","board member","2ND DISTRICT"," 34,337",NA,"CANTELA, SAMSON KEVIN LEGASPI   KEVIN","",TRUE
"94","PUNZALAN, NATIVIDAD MARMOL      MINI                             DGIPP                    8,839","5/12","CAVITE","04A","board member","2ND DISTRICT"," 8,839",NA,"PUNZALAN, NATIVIDAD MARMOL","DGIPP",TRUE
"95","BUENO, ROSIE ORTIZ              ROSE                             DGIPP                    8,476","5/12","CAVITE","04A","board member","2ND DISTRICT"," 8,476",NA,"BUENO, ROSIE ORTIZ","DGIPP",TRUE
